wb_uerid	user_recon	wb_profile	wb_follow	wb_fans
2298822772	0	608	5	5
1962590471	0	324	6	6
2964143551	0	83	315	151
3311629041	0	75	6	6
5067662924	1	1346	1584	252
3860353663	0	75	2248	2934
1863374642	0	1516	1502	833
3899773788	1	2	286	25
3298604645	0	114	3	3
1636301281	0	208	9	9
5920637831	0	103	5002	415
3100486171	0	1764	256	5660
3127526341	0	59	9	9
5108144960	0	34	1363	100
3308359537	0	235	293	153
1771106733	0	54	87	78
2684092063	0	165	106	99
5097264505	0	17	492	71
3847956193	1	2922	1241	482
3607653174	0	117	4	4
3257643013	0	1403	25	25
1726755854	0	7458	5001	517
1437511052	0	6658	4252	321
5985213893	0	83	159	123
2497212520	1	515	7	7
5079113571	0	20	974	51
3204509600	1	9	3	3
6126224206	0	31	83	33
5118424758	0	135	237	7
2410995810	0	6091	1220	1351
2590030927	0	342	8	8
3178048274	0	24	43	16
1496916795	0	47	272	222
3797508521	0	83	8	8
2720244321	0	101	1937	213
5197565180	1	3593	1860	644
5057077469	0	270	1845	123
5597676496	1	5757	8000	16651
1079354182	0	127	10	10
3642317173	0	9	85	82
3070785893	0	153	4	4
5456714841	0	1793	26	26
6294401895	1	214	10	10
3019579475	0	257	1060	259
1645322673	0	86	88	23
2360452432	0	484	3	3
1065861505	0	415	161	202
1735561375	0	2399	3	3
2605202171	0	334	1954	2099
2983321134	0	44	94	37
2920138040	0	7308	4753	284
1104986434	1	149	13	13
6092640549	0	652	3	3
5513935799	1	99	98	245
5293229707	0	5538	187	37
6187112906	0	2307	7	7
3092524884	0	188	16	16
2051178193	0	559	4	4
3177613321	0	40	10	10
1962497317	0	45	5	5
3221365210	0	18	1679	1017
3217596530	0	87	101	29
3154055522	0	803	4	4
2392802713	0	1953	220	237
3247546530	0	49	1357	85
2919294294	0	7205	5000	396
2584135872	0	552	4	4
2920279404	0	7274	5000	246
1298056081	0	376	240	422
5363957624	0	12	72	126
5202847697	0	25	9	9
2920427522	0	7119	4715	259
3608528650	0	1880	1491	453
6182159088	0	3	47	17
3201372795	0	360	21	21
3040101964	0	35	12	12
3177261222	0	222	7	7
3240098342	0	62	1616	102
